draw,r,mean_fisher_z
284,0.13700395733006285,0.13787093436170889
285,0.07389878046862448,0.07403374411602039
286,0.1065396132937009,0.10694548036897358
287,0.07730060018510732,0.0774551214507918
288,0.11516662543644252,0.11567988131514685
289,0.11873528374916391,0.11929803101654042
290,0.05302172011978174,0.05307149080255981
291,0.042700514308698555,0.04272649516977665
292,0.19097550717625988,0.19334940609459408
293,0.09839005846425035,0.09870940713759607
294,0.17816554184564073,0.18008744827645476
295,0.12144282183958945,0.12204518868980035
296,0.1264466998161363,0.12712714854281973
297,0.18711276096478294,0.1893434920717421
298,0.22575023797570234,0.22970693159397157
299,0.11928214983077921,0.11985275369144179
300,0.0639018036906082,0.06398899715817152
301,0.2065216274686849,0.20953526344553708
302,0.13440116365809712,0.13521930890735268
303,0.1244854568149235,0.12513453770669253
304,0.19889856540561748,0.20158548906028734
305,0.0777031445576243,0.07786009833887644
306,0.22237200892254172,0.22615013521788374
307,0.13954819252194456,0.14046476582734477
308,0.14128134513597884,0.14223277758263636
309,0.11437094483211599,0.11487358016887146
310,0.11298097310663759,0.11346541153477989
311,0.11872092643073968,0.1192834684184479
312,0.21462738212241167,0.21801717487048183
313,0.024512280647003185,0.024517191834483205
314,0.14587739225809407,0.14692557586236712
315,0.24006048355608228,0.2448382939919346
316,0.07419310653752192,0.07432969281514665
317,0.16848699894864166,0.17010904673601215
318,0.05080250794151864,0.05084628105556753
319,0.20780097881503237,0.21087198133174645
