gene,mean_log1p_CP10K,detection_fraction,sd_log1p_CP10K
PLOD1,0.20530349550405452,0.22737642585551332,0.4205335427951416
MFN2,0.11485881435683559,0.13155893536121674,0.33893197825366317
MIIP,0.10329069420207822,0.13155893536121674,0.29363685300159964
TNFRSF8,0.001739492957242526,0.001520912547528517,0.04528538962798484
TNFRSF1B,0.0727029651408389,0.07984790874524715,0.27324834588226377
VPS13D,0.1686352380392123,0.17566539923954372,0.41244013000651153
PDPN,0.7333265788875825,0.47072243346007603,0.8701350606234418
PRDM2,0.19362043423255995,0.21901140684410647,0.41330439785203216
KAZN,0.0787526489801512,0.09201520912547528,0.27186445195095255
TMEM51,0.12604664212807057,0.1452471482889734,0.34269102313406097
FHAD1,0.009081974871675958,0.012927756653992395,0.08583464627509016
EFHD2,0.257839206336379,0.2798479087452472,0.4698912219598241
CTRC,0.0008890893649666676,0.0007604562737642585,0.03224098427544256
DNAJC16,0.011981089521983408,0.01596958174904943,0.10126108246118373
DDI2,0.1747415754992813,0.1908745247148289,0.40662049326568656
PLEKHM2,0.26233338153906316,0.28821292775665397,0.4621521224567898
SLC25A34,0.01644990283045818,0.015209125475285171,0.14884117089809654
TMEM82,0.003273735726398016,0.003041825095057034,0.06702310431175085
FBLIM1,0.4911413353349873,0.4250950570342205,0.6506211053175174
SPEN,0.44323611454217415,0.40760456273764256,0.61634235156732
SRARP,0.0013317628196755271,0.0007604562737642585,0.04829362021374246
CLCNKA,0.0,0.0,0.0
AL451042.2,0.002236166983981665,0.0022813688212927757,0.050264094773344904
AL451042.1,0.0006439276671938632,0.0007604562737642585,0.023350703102042045
SZRD1,0.35417951078236276,0.3581749049429658,0.5382918837386803
NECAP2,0.1561079679500478,0.18555133079847907,0.36168917648060683
LINC01772,0.01241667934795049,0.012927756653992395,0.11747566200649667
AL137802.2,0.0012909068330826483,0.001520912547528517,0.03592207611961409
CROCC,0.09766355124453827,0.12015209125475285,0.28988022312102457
PADI1,0.0,0.0,0.0
PADI3,0.0031317594055414516,0.0038022813688212928,0.05483848532746516
PADI4,0.0027278674627943538,0.001520912547528517,0.07465387883832404
AC004824.1,0.0023521844569496316,0.003041825095057034,0.04973692488325604
ARHGEF10L,0.11628728676984512,0.12395437262357414,0.35256068032746796
ACTL8,0.0,0.0,0.0
IGSF21,0.0,0.0,0.0
KLHDC7A,0.0008272221253859185,0.0007604562737642585,0.029997496975869755
PAX7,0.0,0.0,0.0
AL035413.1,0.02952773885770982,0.0349809885931559,0.1703128171529788
MRTO4,0.19959608354969266,0.2220532319391635,0.42211312939674883
PQLC2,0.05065510637621951,0.06768060836501902,0.2056662832531352
MINOS1,0.0033313779265734993,0.0045627376425855515,0.05599776607869973
NBL1,1.5089363274859369,0.752851711026616,1.0661710742705595
MINOS1-NBL1,0.0018159609533143128,0.003041825095057034,0.03453904241794563
AL391883.1,0.0,0.0,0.0
OTUD3,0.05480519650201217,0.06844106463878327,0.22454462090174546
PLA2G5,0.03545229948746886,0.05095057034220532,0.16293573959675944
PLA2G2F,0.0,0.0,0.0
Z98257.1,0.00040327236569424755,0.0007604562737642585,0.014623837055520512
UBXN10,0.007669928700512244,0.011406844106463879,0.07451457316494124
VWA5B1,0.0,0.0,0.0
FAM43B,0.023616799023001084,0.028136882129277566,0.15450843057804847
CDA,0.018469009028135877,0.02053231939163498,0.13564562228658453
