"sample","MCP_full","MCP_FAP13_matrix4_purged","MCP_SenMayo_FAP13_purged","MCP_SenMayo_matrix4_purged","MCP_global_disjoint","EPIC_full","EPIC_FAP13_matrix4_purged","EPIC_SenMayo_FAP13_purged","EPIC_SenMayo_matrix4_purged","EPIC_global_disjoint"
"TCGA-D5-5539-01",12.5028,11.30346,12.5678714285714,11.4274333333333,11.30346,0.228850536488949,0.0497186367309205,0.227097116854151,0.0499709208917389,0.0496817287773562
"TCGA-D5-5540-01",10.7932,9.47048,10.5690285714286,9.95246666666667,9.47048,0.0407589104495829,0.0233919161444144,0.0402765789437549,0.0234486168872252,0.0232755810319304
"TCGA-D5-5541-01",11.645425,10.4333,11.6118285714286,10.6745166666667,10.4333,0.115918817430634,0.0511199573473058,0.11520104180704,0.0514681680736842,0.0510784683383904
"TCGA-D5-6529-01",13.2599125,11.8914,13.3804571428571,11.97885,11.8914,0.599248164574114,0.0789194022624175,0.597371378553348,0.0793310071110729,0.0788232568108461
"TCGA-D5-6530-01",11.2335125,9.9394,11.3553142857143,10.0129833333333,9.9394,0.14416621444952,0.0163290185473598,0.14309009682934,0.0165579618912549,0.016492125963717
"TCGA-D5-6531-01",11.9698125,10.62948,11.9737285714286,10.8483,10.62948,0.180084938705853,0.0306087119403437,0.178906218388809,0.0308376732370787,0.0306033512710276
"TCGA-D5-6532-01",10.694875,9.28418,10.7085571428571,9.50333333333333,9.28418,0.0912029711031513,0.0154076787529309,0.0901028847052033,0.015435436280288,0.0153467739165774
"TCGA-D5-6533-01",11.1567625,9.77156,11.2329714285714,9.91351666666667,9.77156,0.140061217833887,0.0201308901301958,0.138478247228663,0.0201759791268834,0.0204827353506285
"TCGA-D5-6534-01",14.06065,12.77706,14.0717714285714,12.9780166666667,12.77706,0.726778102562342,0.206279055346119,0.738451201667811,0.210398380192284,0.210050588873872
"TCGA-D5-6535-01",11.7068125,10.58442,12.0015142857143,10.4276666666667,10.58442,0.220608595743702,0.0307383462484699,0.218463754694071,0.0310911278705596,0.0307554486239089
"TCGA-D5-6536-01",12.8356875,11.51202,12.8748428571429,11.68695,11.51202,0.308106232555226,0.048065945723583,0.30589079269917,0.0483025156713558,0.0479785977813958
"TCGA-D5-6537-01",10.8430625,9.82806,10.9792571428571,9.83833333333333,9.82806,0.0662076180522498,0.00997108098128904,0.065611806566244,0.0100285449640839,0.00995619614895617
"TCGA-D5-6538-01",10.5160125,9.04746,10.3456714285714,9.49095,9.04746,0.0510993533729923,0.00525262448265538,0.0502829995728636,0.00527348391749447,0.00522346053228177
"TCGA-D5-6539-01",10.7605,9.44174,10.7139571428571,9.71583333333333,9.44174,0.0672064322966054,0.0136597603394504,0.0666939991125599,0.0136599898784847,0.013472695272487
"TCGA-D5-6540-01",12.587775,11.20152,12.6560285714286,11.3529333333333,11.20152,0.373890715992028,0.0210214055428487,0.370752128444832,0.0211262365868422,0.0209501875707582
"TCGA-D5-6541-01",12.97455,11.44392,12.8888571428571,11.799,11.44392,0.401202591980946,0.0910927624515494,0.400003724471755,0.0916191123246085,0.0909685356980256
"TCGA-D5-6898-01",12.2832875,11.07028,12.1427142857143,11.43645,11.07028,0.130987561262043,0.0558272016899906,0.130447320435489,0.0561776371875237,0.0560103980363016
"TCGA-D5-6920-01",11.4629,10.31846,11.5339714285714,10.4262833333333,10.31846,0.105543896548539,0.0261222150597026,0.104519633695911,0.0262881015788451,0.026128997540345
"TCGA-D5-6922-01",12.8495125,11.4849,12.7342428571429,11.8468166666667,11.4849,0.280967995410649,0.057083584524763,0.279038303593542,0.0574700163981427,0.0569783758121684
"TCGA-D5-6923-01",13.6924375,12.49522,13.8849857142857,12.4701166666667,12.49522,0.761414191619634,0.0813101290946362,0.757975912210011,0.0821032791940578,0.0819979779553527
"TCGA-D5-6924-01",13.643825,12.27948,13.6952142857143,12.4469166666667,12.27948,0.694800214037574,0.0640234388078182,0.692354295395826,0.064302956080692,0.0638285457306063
"TCGA-D5-6926-01",13.587925,12.04264,13.5501142857143,12.3443,12.04264,0.726081678259736,0.0778412323242914,0.72340760523829,0.0784426225707009,0.0779601278058308
"TCGA-D5-6927-01",12.63465,11.09898,12.6321142857143,11.3578833333333,11.09898,0.394244356739257,0.0325906029686673,0.392312604102903,0.032797606978203,0.0326269366685173
"TCGA-D5-6928-01",13.3068125,12.1537,13.4006142857143,12.23645,12.1537,0.42579776104178,0.0791364944929957,0.428354633136452,0.0804732041233252,0.0802804345072737
"TCGA-D5-6929-01",13.0734,11.42986,12.9614,11.83445,11.42986,0.475174017389322,0.0723054442203133,0.472409824546296,0.0728830394438682,0.072267572650094
"TCGA-D5-6930-01",12.7860375,11.41102,12.7209285714286,11.71615,11.41102,0.270528465518263,0.0418731781225532,0.268737480415409,0.0420475523375475,0.0418016598372471
"TCGA-D5-6931-01",12.341575,11.1254,12.4103428571429,11.2478666666667,11.1254,0.221870748045306,0.0261539545234188,0.219867815104067,0.0259976190505306,0.025873171039395
"TCGA-D5-6932-01",12.3478375,10.8083,12.2759857142857,11.1487166666667,10.8083,0.273948715664859,0.0436892416936484,0.271730873840515,0.0444587617798616,0.0436806028872609
"TCGA-D5-7000-01",12.5042125,11.16866,12.5280571428571,11.3634333333333,11.16866,0.274208340036919,0.0310283639828322,0.271355840792244,0.0311934319026356,0.0309515333542314
"TCGA-DM-A0X9-01",10.930525,9.63588,10.8763571428571,9.91485,9.63588,0.0703727845168431,0.0182714897651621,0.0691855430201401,0.0183808593459467,0.0181737010659196
"TCGA-DM-A0XD-01",11.9206375,10.43454,11.8742,10.7364,10.43454,0.211101131314724,0.0298581831788727,0.208532297487935,0.0298824597465574,0.0297115847500784
