"sample","dataset","FAP13","matrix4","receptor2"
"GSM972245","discovery",-0.270569526611305,-0.365528461470748,-0.430785325425768
"GSM972246","discovery",0.237506687529261,0.738912097587921,0.427504844699577
"GSM972247","discovery",-0.768719020495378,-0.940715807204116,-0.484619915277813
"GSM972248","discovery",-0.520125126048528,-0.537179224925973,-0.0420356093044173
"GSM972249","discovery",0.0620283908921389,0.407888373055914,0.019899198823507
"GSM972250","discovery",0.198864810356962,0.464465338808702,-0.445347727547243
"GSM972251","discovery",1.37107504084118,1.82695081101961,-1.11366791015746
"GSM972252","discovery",0.625151738808999,1.08630518936118,0.0184644392174187
"GSM972253","discovery",-0.40575452815813,-0.820155036835287,0.597675239657698
"GSM972254","discovery",1.1601503658015,0.921718359597824,-0.278595088812415
"GSM972255","discovery",1.34888720731976,1.59535102508028,-0.865389421008805
"GSM972256","discovery",-0.38904350496394,0.0362145820906766,0.499224643703448
"GSM972257","discovery",-0.647584632070532,-1.06832743882461,0.372735619949007
"GSM972258","discovery",-0.20815271700618,-0.0840468150951621,-1.00092356121795
"GSM972259","discovery",-0.597905804161167,-0.83897384914964,-1.00835384390599
"GSM972260","discovery",0.176941838876179,0.286762720840723,1.1197191780636
"GSM972261","discovery",0.0847603190369852,0.163393345640613,-0.168181301792939
"GSM972262","discovery",1.90136196830602,1.96885209949562,-0.793824814705117
"GSM972263","discovery",0.17300136784703,0.712892188246429,0.114251130470526
"GSM972264","discovery",-0.437452903928768,-0.262136030624935,1.18041724531676
"GSM972265","discovery",0.135148037523813,-0.0475061058007809,-0.170043498395031
"GSM972266","discovery",-0.868808654799398,-0.89651155369558,0.839963935244527
"GSM972267","discovery",-0.41221142583382,0.2033871558955,-0.423989882264432
"GSM972268","discovery",-0.661520536841279,-1.13139129892414,1.00258017215035
"GSM972269","discovery",-0.539866247070085,-2.14404260924272,-0.207063771955073
"GSM972270","discovery",-0.290261585975095,-0.184344251556847,-0.259103258083933
"GSM972271","discovery",-0.796468009131718,0.365902579885275,0.15710195580294
"GSM972272","discovery",-1.17270186084487,-1.50680357400644,0.0471643225711809
"GSM972273","discovery",-1.28226505503571,-2.52829379703763,-0.315964692482149
"GSM972274","discovery",0.574551703164742,0.868669077622132,-0.718851280530652
"GSM972275","discovery",0.738149685509226,0.9722155521282,2.03901116095647
"GSM972276","discovery",-0.834675061984652,-0.615264819908943,-0.431486863037407
"GSM972277","discovery",-0.733452812716109,-0.33184524694855,-0.402049407496561
"GSM972278","discovery",-0.255219850243157,-0.459444255443457,-1.0821857221341
"GSM972279","discovery",0.732423619766717,1.14978202065862,-1.39727355912224
"GSM972280","discovery",0.563689419160177,0.454624728662274,-0.750126328761611
"GSM972281","discovery",0.162246710185178,0.0158002435838759,-0.363785750795193
"GSM972282","discovery",0.105029508605454,-0.320671158828429,0.835070831002706
"GSM972283","discovery",0.437436302407382,0.738184416941331,0.7993566824378
"GSM972284","discovery",-1.48772895956393,-1.61454551271923,-0.482725116252184
"GSM972285","discovery",0.00708431342847708,-0.56959264919032,0.828402234509518
"GSM972286","discovery",0.746664360784544,1.17935016773728,-0.0518998669047669
"GSM972287","discovery",1.46027745805963,1.64275499010039,0.50983554049128
"GSM972288","discovery",-0.820829151067481,-0.149970033691814,-0.585337714802836
"GSM972289","discovery",-0.240479977367405,0.226147777098433,0.579972495459781
"GSM972290","discovery",1.18873771056459,0.851172317314476,-0.0708525888168876
"GSM972291","discovery",0.258939350631998,0.314032549736019,0.205137982661663
"GSM972292","discovery",0.240269271973664,0.376297896144475,0.568900285534654
"GSM972293","discovery",0.810619944689847,1.20739167702978,0.220649911290692
"GSM972294","discovery",0.131340822782754,0.884256232401275,0.558794807381549
"GSM972295","discovery",-1.09553087326137,-0.76506178241669,-0.310776958925561
"GSM972296","discovery",-1.08292174336077,-1.73189314730584,0.449026336182492
"GSM972297","discovery",0.765931107185264,0.929525244568349,-0.543244907732093
"GSM972298","discovery",-0.212719459766693,-0.0182681315973112,-0.572773664415716
"GSM972299","discovery",0.396711172238955,0.759321023848671,0.435654592986904
"GSM972300","discovery",-0.864959898959892,-1.64388563894304,-0.775691544076666
"GSM972301","discovery",0.452244018062363,0.286768737583595,-0.910289600081036
"GSM972302","discovery",-0.706969356676672,-0.983969892443188,-0.188214263601115
"GSM972303","discovery",-0.702312030174584,0.0990650977535785,0.0407747255991464
"GSM972304","discovery",-1.44896583380688,-1.44376569828635,0.470965726937616
"GSM972305","discovery",0.29891408702869,0.0191833446380128,-0.492144706689319
"GSM972306","discovery",-0.649971804874867,-0.321974993836317,0.667886461340142
"GSM972307","discovery",-1.17047919175348,-0.708136454095445,0.851647649397588
"GSM972308","discovery",-0.50320801828747,-0.71600006601273,-0.56231597627098
"GSM972309","discovery",-1.38970327172795,-1.23741195304881,-0.0175978783545817
"GSM972310","discovery",0.316074239602032,0.647998519676811,1.10569074690518
"GSM972311","discovery",-1.17997526701825,-0.830860406260806,-0.755589484606857
"GSM972312","discovery",-1.29197493786576,-0.973695889648425,0.137900031350472
"GSM972313","discovery",-0.80590090094245,-0.64827139702599,-0.539853053613887
"GSM972314","discovery",-0.847304096990637,-0.837224903217366,-2.76445470836636
"GSM972315","discovery",-1.19724762755462,-1.70107312029807,0.116184259953915
"GSM972316","discovery",0.0378473927489271,0.104785000602979,0.49024776872613
"GSM972317","discovery",0.199444350668081,0.449946909856437,-0.378124076236686
"GSM972318","discovery",-0.294337238112798,0.351694290295263,0.227323610607548
"GSM972319","discovery",-0.799654339415742,-0.870102074836041,-0.272047435868355
"GSM972320","discovery",-0.552648870279543,-0.402684096433355,0.465710680008852
"GSM972321","discovery",0.124951077078349,-0.051661245491442,-0.661174600864641
"GSM972322","discovery",-0.17237150137792,-0.672184769800814,0.0225077080087576
