class,cell_type,cell_subtype,gene,n_cells,mean_log_normalized,median_log_normalized,positive_cells,positive_percent
Normal,Epithelial cells,Goblet cells,OCLN,139,0.23645466296684794,0.0,33,23.741007194244602
Normal,Epithelial cells,Goblet cells,TJP1,139,0.2150358223310383,0.0,31,22.302158273381295
Normal,Epithelial cells,Goblet cells,CDH1,139,0.6622320210694682,0.6051337255928672,74,53.23741007194245
Normal,Epithelial cells,Goblet cells,EPCAM,139,2.389824768082485,2.5418185169731644,131,94.24460431654677
Normal,Epithelial cells,Goblet cells,VIM,139,0.321102004047791,0.0,38,27.33812949640288
Normal,Epithelial cells,Goblet cells,ZEB1,139,0.0,0.0,0,0.0
Normal,Epithelial cells,Goblet cells,SNAI1,139,0.025162145232727376,0.0,5,3.597122302158273
Normal,Epithelial cells,Goblet cells,SNAI2,139,0.0,0.0,0,0.0
Normal,Epithelial cells,Goblet cells,TWIST1,139,0.0,0.0,0,0.0
Normal,Epithelial cells,Intermediate,FAP,181,0.0,0.0,0,0.0
Normal,Epithelial cells,Intermediate,COL1A1,181,0.0,0.0,0,0.0
Normal,Epithelial cells,Intermediate,COL1A2,181,0.028551803196818843,0.0,3,1.6574585635359116
Normal,Epithelial cells,Intermediate,COL3A1,181,0.022639162305902176,0.0,2,1.1049723756906076
Normal,Epithelial cells,Intermediate,FN1,181,0.09385625811906674,0.0,8,4.41988950276243
Normal,Epithelial cells,Intermediate,POSTN,181,0.009855725920662715,0.0,1,0.5524861878453038
Normal,Epithelial cells,Intermediate,ACTA2,181,0.012580967476531731,0.0,1,0.5524861878453038
Normal,Epithelial cells,Intermediate,TAGLN,181,0.04793088874343612,0.0,5,2.7624309392265194
Normal,Epithelial cells,Intermediate,CXCL12,181,0.0,0.0,0,0.0
Normal,Epithelial cells,Intermediate,CCL2,181,0.10353670580391365,0.0,10,5.524861878453039
Normal,Epithelial cells,Intermediate,CD74,181,0.35554068980048215,0.0,35,19.337016574585636
Normal,Epithelial cells,Intermediate,HLA-DRA,181,0.16646446221548467,0.0,16,8.83977900552486
Normal,Epithelial cells,Intermediate,CLDN1,181,0.012918620560147384,0.0,1,0.5524861878453038
Normal,Epithelial cells,Intermediate,CLDN2,181,0.0,0.0,0,0.0
Normal,Epithelial cells,Intermediate,CLDN3,181,1.9909295993837994,2.3132745688163707,135,74.58563535911603
Normal,Epithelial cells,Intermediate,CLDN4,181,1.5994176442558858,2.043870075894968,112,61.87845303867403
Normal,Epithelial cells,Intermediate,CLDN7,181,0.9975537630838157,0.0,80,44.19889502762431
Normal,Epithelial cells,Intermediate,CLDN18,181,0.0,0.0,0,0.0
Normal,Epithelial cells,Intermediate,OCLN,181,0.023582546119512177,0.0,3,1.6574585635359116
Normal,Epithelial cells,Intermediate,TJP1,181,0.0839492675423609,0.0,8,4.41988950276243
Normal,Epithelial cells,Intermediate,CDH1,181,0.13097043528047037,0.0,13,7.18232044198895
Normal,Epithelial cells,Intermediate,EPCAM,181,1.5651755723449023,1.9650079517119021,112,61.87845303867403
Normal,Epithelial cells,Intermediate,VIM,181,0.2251592533185383,0.0,21,11.602209944751381
Normal,Epithelial cells,Intermediate,ZEB1,181,0.0,0.0,0,0.0
Normal,Epithelial cells,Intermediate,SNAI1,181,0.10430337252874058,0.0,10,5.524861878453039
Normal,Epithelial cells,Intermediate,SNAI2,181,0.0,0.0,0,0.0
Normal,Epithelial cells,Intermediate,TWIST1,181,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 1,FAP,213,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 1,COL1A1,213,0.035525146180035716,0.0,5,2.3474178403755865
Normal,Epithelial cells,Mature Enterocytes type 1,COL1A2,213,0.0283837233288976,0.0,6,2.8169014084507045
Normal,Epithelial cells,Mature Enterocytes type 1,COL3A1,213,0.04200374612743194,0.0,6,2.8169014084507045
Normal,Epithelial cells,Mature Enterocytes type 1,FN1,213,0.020494774922874676,0.0,3,1.4084507042253522
Normal,Epithelial cells,Mature Enterocytes type 1,POSTN,213,0.007105353446974772,0.0,1,0.4694835680751174
Normal,Epithelial cells,Mature Enterocytes type 1,ACTA2,213,0.021935263793510257,0.0,4,1.8779342723004695
Normal,Epithelial cells,Mature Enterocytes type 1,TAGLN,213,0.04376936192144415,0.0,6,2.8169014084507045
Normal,Epithelial cells,Mature Enterocytes type 1,CXCL12,213,0.042599831808693374,0.0,6,2.8169014084507045
Normal,Epithelial cells,Mature Enterocytes type 1,CCL2,213,0.19784782339936646,0.0,29,13.615023474178404
Normal,Epithelial cells,Mature Enterocytes type 1,CD74,213,0.18147337411322673,0.0,27,12.676056338028168
Normal,Epithelial cells,Mature Enterocytes type 1,HLA-DRA,213,0.10244680855778039,0.0,16,7.511737089201878
Normal,Epithelial cells,Mature Enterocytes type 1,CLDN1,213,0.004719331338515287,0.0,1,0.4694835680751174
Normal,Epithelial cells,Mature Enterocytes type 1,CLDN2,213,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 1,CLDN3,213,3.0992564378829064,3.324276125503531,204,95.77464788732394
Normal,Epithelial cells,Mature Enterocytes type 1,CLDN4,213,2.6938722122541376,2.82750933579598,198,92.95774647887323
Normal,Epithelial cells,Mature Enterocytes type 1,CLDN7,213,2.138668732184063,2.3079576876910908,186,87.32394366197182
Normal,Epithelial cells,Mature Enterocytes type 1,CLDN18,213,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 1,OCLN,213,0.09138293417195233,0.0,13,6.103286384976526
Normal,Epithelial cells,Mature Enterocytes type 1,TJP1,213,0.1639324720925163,0.0,24,11.267605633802818
Normal,Epithelial cells,Mature Enterocytes type 1,CDH1,213,0.2561232213973758,0.0,35,16.431924882629108
Normal,Epithelial cells,Mature Enterocytes type 1,EPCAM,213,2.248108547033384,2.4436719927303687,181,84.97652582159625
Normal,Epithelial cells,Mature Enterocytes type 1,VIM,213,0.2525903889712739,0.0,36,16.901408450704224
Normal,Epithelial cells,Mature Enterocytes type 1,ZEB1,213,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 1,SNAI1,213,0.017865277799487843,0.0,3,1.4084507042253522
Normal,Epithelial cells,Mature Enterocytes type 1,SNAI2,213,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 1,TWIST1,213,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 2,FAP,131,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 2,COL1A1,131,0.008675843207494725,0.0,1,0.7633587786259541
Normal,Epithelial cells,Mature Enterocytes type 2,COL1A2,131,0.022301166511610182,0.0,2,1.5267175572519083
Normal,Epithelial cells,Mature Enterocytes type 2,COL3A1,131,0.012587647172313487,0.0,1,0.7633587786259541
Normal,Epithelial cells,Mature Enterocytes type 2,FN1,131,0.008447513222410092,0.0,2,1.5267175572519083
Normal,Epithelial cells,Mature Enterocytes type 2,POSTN,131,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 2,ACTA2,131,0.04070352037413833,0.0,2,1.5267175572519083
Normal,Epithelial cells,Mature Enterocytes type 2,TAGLN,131,0.0471943272305065,0.0,3,2.2900763358778624
Normal,Epithelial cells,Mature Enterocytes type 2,CXCL12,131,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 2,CCL2,131,0.16959178350052354,0.0,14,10.687022900763358
Normal,Epithelial cells,Mature Enterocytes type 2,CD74,131,0.1295786274827793,0.0,12,9.16030534351145
Normal,Epithelial cells,Mature Enterocytes type 2,HLA-DRA,131,0.18145697454810442,0.0,15,11.450381679389313
Normal,Epithelial cells,Mature Enterocytes type 2,CLDN1,131,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 2,CLDN2,131,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 2,CLDN3,131,3.0626596922155005,3.3902656853174404,121,92.36641221374046
Normal,Epithelial cells,Mature Enterocytes type 2,CLDN4,131,2.5704142444502778,2.8677574359839357,113,86.25954198473282
Normal,Epithelial cells,Mature Enterocytes type 2,CLDN7,131,2.083671950445118,2.371940710472097,106,80.91603053435115
Normal,Epithelial cells,Mature Enterocytes type 2,CLDN18,131,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 2,OCLN,131,0.2224467022194699,0.0,20,15.267175572519085
Normal,Epithelial cells,Mature Enterocytes type 2,TJP1,131,0.19910071250673764,0.0,18,13.740458015267176
Normal,Epithelial cells,Mature Enterocytes type 2,CDH1,131,0.46839774953069513,0.0,39,29.770992366412212
Normal,Epithelial cells,Mature Enterocytes type 2,EPCAM,131,2.0147518731565586,2.3712067459952335,101,77.09923664122137
Normal,Epithelial cells,Mature Enterocytes type 2,VIM,131,0.2119858103531339,0.0,18,13.740458015267176
Normal,Epithelial cells,Mature Enterocytes type 2,ZEB1,131,0.0,0.0,0,0.0
