test_ligand,auroc,aupr,aupr_corrected,pearson,rank,sender_mean_count,sender_positive_percent,cellchat_direct_support
KIAA0319L,0.565468841380204,0.02389336588853,0.007459584361155,0.0306436359219021,102,0.169014084507042,14.4366197183099,FALSE
TSPAN3,0.560492024478894,0.0234249938867503,0.00699121235937528,0.0305448941955527,103,0.654929577464789,41.9014084507042,FALSE
RGMA,0.570069625744885,0.0235111476663214,0.00707736613894641,0.0304995114734259,104,0.158450704225352,12.6760563380282,FALSE
COMP,0.572935977952172,0.024289232537882,0.00785545101050699,0.0304727132920123,105,3.10211267605634,22.5352112676056,FALSE
GAS6,0.566657620225267,0.0229442589937766,0.00651047746640161,0.030439774247319,106,0.887323943661972,44.3661971830986,FALSE
EMC1,0.569219610646238,0.0235351960608528,0.00710141453347781,0.0304283605749804,107,0.242957746478873,20.7746478873239,FALSE
MMP13,0.555795201308791,0.0234227349649178,0.00698895343754283,0.0302957952580967,108,5.34154929577465,27.112676056338,FALSE
CCL11,0.560816931880276,0.0229597218505246,0.00652594032314957,0.0302257162057009,109,2.94718309859155,25.3521126760563,FALSE
GZMB,0.562552319647698,0.0241037754661593,0.00766999393878428,0.0300244898826297,110,0.109154929577465,10.2112676056338,FALSE
SIRPA,0.565179769353966,0.0243257373589944,0.00789195583161943,0.0300154043431192,111,0.176056338028169,14.0845070422535,FALSE
CD82,0.564674729466808,0.0248325195196062,0.00839873799223122,0.0298747365426394,112,1.75352112676056,56.3380281690141,FALSE
LAMB3,0.568570751453479,0.0236507641115416,0.00721698258416662,0.029827934597026,113,0.221830985915493,18.3098591549296,FALSE
THY1,0.571423247315683,0.0241038702155761,0.00767008868820111,0.0298067452576151,114,11.7253521126761,94.3661971830986,TRUE
PROS1,0.573082186282783,0.0242439655756969,0.00781018404832192,0.0296653580105745,115,0.137323943661972,12.6760563380282,FALSE
ARF1,0.566366159174019,0.0229758838184491,0.00654210229107414,0.0295574479251789,116,3.96830985915493,84.5070422535211,FALSE
LGALS3BP,0.579045670513294,0.0241830637253077,0.00774928219793266,0.0294613085047437,117,5.75,90.4929577464789,FALSE
PTPRK,0.562495460852481,0.0236742765388996,0.00724049501152457,0.0294171918331901,118,0.313380281690141,25.7042253521127,FALSE
MMP2,0.568969240825187,0.0239235120339288,0.00748973050655376,0.0293477688872176,119,16.0774647887324,96.830985915493,FALSE
GSTP1,0.561310026642406,0.0232387464801417,0.00680496495276673,0.0292151976371334,120,8.46830985915493,96.830985915493,FALSE
TGFBI,0.558661075711058,0.0235844381466054,0.00715065661923037,0.0290623216813529,121,4.69014084507042,74.6478873239437,FALSE
DKK3,0.556891285983491,0.0227984358066619,0.0063646542792869,0.0289811923215443,122,2.6056338028169,71.1267605633803,FALSE
CD99,0.572000435758167,0.0247303226412737,0.00829654111389868,0.028849321840832,123,9.12676056338028,94.3661971830986,TRUE
IL11,0.571439970490753,0.0252502337916337,0.00881645226425871,0.0288220018492101,124,0.714788732394366,11.6197183098592,FALSE
MICA,0.565849174161822,0.0226483833723796,0.00621460184500464,0.0283568955049381,125,0.257042253521127,21.830985915493,FALSE
RTN4,0.566925191026428,0.0241589301454911,0.00772514861811614,0.0283241494268262,126,5.40492957746479,89.0845070422535,FALSE
ADAM17,0.565734023156324,0.0240871301320579,0.00765334860468295,0.0282929707004679,127,0.503521126760563,31.3380281690141,FALSE
BOC,0.565651362890981,0.0230136832009317,0.00657990167355669,0.0282650354471794,128,0.253521126760563,19.0140845070423,FALSE
MSN,0.563011012449691,0.0230401655514143,0.00660638402403931,0.0281159959238124,129,1.09154929577465,55.9859154929578,FALSE
SPARC,0.573970903586599,0.0248189290132626,0.00838514748588756,0.0280892351395803,130,64.4401408450704,99.6478873239437,FALSE
SEMA4B,0.567058020816993,0.0224895824962388,0.00605580096886377,0.0277882516136083,131,0.116197183098592,11.2676056338028,FALSE
COL24A1,0.564256650090007,0.0227350743134628,0.00630129278608784,0.0276044904563309,132,0.126760563380282,10.2112676056338,FALSE
LAMC2,0.563767377767898,0.0234237275936912,0.00698994606631617,0.0275744046847589,133,0.144366197183099,12.6760563380282,FALSE
LAMC1,0.568081956936392,0.023935626792976,0.00750184526560101,0.0275695907439151,134,1.33802816901408,63.0281690140845,TRUE
FBLN1,0.572832772071712,0.0230007819618775,0.00656700043450247,0.0275656188277616,135,15.862676056338,94.7183098591549,FALSE
COL4A2,0.569811133238771,0.0235695010065712,0.00713571947919623,0.0274544256023928,136,1.9330985915493,56.6901408450704,TRUE
ALOX5AP,0.563481172571701,0.0226980984613396,0.00626431693396464,0.0274060987750702,137,0.140845070422535,11.9718309859155,FALSE
TCTN1,0.564098018829327,0.0228224450581419,0.00638866353076692,0.0273998969054083,138,0.419014084507042,29.9295774647887,FALSE
PGF,0.551454820670233,0.0234968827521314,0.00706310122475641,0.0273503169002968,139,0.197183098591549,13.3802816901408,FALSE
CEACAM6,0.566387182594141,0.0229886426541603,0.00655486112678533,0.0273468024645602,140,0.176056338028169,15.1408450704225,FALSE
