gene,logFC,logCPM,F,PValue,FDR
PPBP,7.38307945981,7.21009122232055,11.3796592437597,0.00425633970414907,0.26551997367799
POLR3F,-1.31890282102931,2.98431999649325,11.3654183898126,0.00426558182605298,0.26551997367799
EEF1E1,-0.749083779285562,6.02069887967935,11.325354105994,0.0042990820092873,0.26551997367799
MUC12,1.8288649583704,6.44326418677194,11.3251351996062,0.00429920264917665,0.26551997367799
ANKRD36C,1.74898841859554,4.57119431595589,11.3204988689788,0.00430711925666016,0.26551997367799
TXNIP,1.0928851636417,6.44900354316675,11.2552021385396,0.00439157664028088,0.269386268067923
TSPAN13,1.39606662181353,7.0575349613085,11.2070376696739,0.00445651579019143,0.270628710557741
KIAA1324,2.50676612177206,4.89829788816533,11.2043325541906,0.00446249249846278,0.270628710557741
DOC2B,2.48078913361022,0.90894918967731,11.1610339813475,0.00447735337457324,0.270628710557741
LAGE3,-0.817291331990976,6.39264689627338,11.1691479685504,0.00450846492236181,0.271186353655268
FAM217B,-1.22046953433993,3.67144255419744,11.1414935921184,0.00455562625495841,0.272045777491488
ERGIC3,-0.818864168961323,8.11202270379842,11.1157063944653,0.00458269788573309,0.272045777491488
DUSP2,-1.51583619567056,5.80180637570941,11.0954965813958,0.00461191556606535,0.272045777491488
ASAP1,-0.998875412480005,3.43145957351738,11.0745813019479,0.00465104606599462,0.272045777491488
GGCT,-0.875181755803923,7.13744588191165,11.0556905194769,0.00466784317831011,0.272045777491488
CTD-2553L13.10,-1.48216204194423,1.68916082571062,11.0661066540542,0.00467295220883806,0.272045777491488
SCAMP5,-2.2837811841838,1.0368678839663,10.8264282628357,0.00467643859298579,0.272045777491488
ARID5A,1.17381206271578,4.63997068989848,11.028339598905,0.00470850871011794,0.272631455266689
SNRPB,-1.15350390540209,8.63682200827067,10.9584028455752,0.00480973037246412,0.274397159749642
RASA2,0.718406004932294,3.9611422045433,10.9053421802212,0.00489215475808714,0.274397159749642
SRD5A3,1.270549479678,4.94029681550749,10.8766520475561,0.00493364794580209,0.274397159749642
SEP15,0.608611500564115,7.22034392045819,10.8715541228955,0.00494057659931899,0.274397159749642
IFI27L2,0.996841006472164,6.20901540908622,10.8689360409365,0.00494459005458589,0.274397159749642
NDUFAB1,-0.756162358170377,7.94353409664065,10.8670569069617,0.00494746142469717,0.274397159749642
MKKS,-1.31374238463754,6.89834551901987,10.8615580856542,0.00495598886148571,0.274397159749642
DBI,-1.06111166084613,9.00550577750319,10.8490707255171,0.0049751084574063,0.274397159749642
YWHAB,-1.01957136061764,8.60433511935125,10.8489598711117,0.00497527965055907,0.274397159749642
DPM1,-1.17891645358757,6.70967762986937,10.8447998939851,0.00498179528561838,0.274397159749642
TIMMDC1,-0.565078804441001,5.57484243238194,10.8445314787043,0.0049825971224009,0.274397159749642
PDXDC1,0.755241503120502,5.61872718111508,10.8079170887471,0.00503932019945165,0.275084982086972
BNIP3,3.94758171046366,5.25044224244833,10.7963678958102,0.00506475055870603,0.275084982086972
ITPA,-1.25047063808045,6.3180238751574,10.7901849977799,0.00506706273721559,0.275084982086972
MMEL1,1.16315415035366,2.20267805307435,10.771506012901,0.00512628709358127,0.275084982086972
PNPLA7,1.66729200526546,0.677598569038138,10.7645382042849,0.00512729450576951,0.275084982086972
CPNE1,-1.66956653645925,6.39622653961147,10.743431696999,0.0051415943156673,0.275084982086972
MRPL32,-0.74809092254918,6.59317419782493,10.722857741998,0.00517426379195073,0.275084982086972
EIF2S2,-0.866060616461841,8.20787339121979,10.7196393312734,0.00517936181676129,0.275084982086972
BOD1,-0.735944088584012,5.27047099732146,10.7105366413882,0.00519489030815523,0.275084982086972
