patient,row,col,DefineTypes,FAP_fibroblasts,SPP1_macrophages,immune_score,epithelial_flag,nhood_FAP_fibroblasts,nhood_SPP1_macrophages,nhood_immune_score,nhood_epithelial_flag,habitat
P6,451.2309746,71.2272134,MARCO_FAP,0.954426685622846,0.508294317469946,0.048537580481961,0,0.671696064602511,0.384461524450541,0.0354004944878055,0.428571428571429,FAP+CAF/SPP1+TAM
P6,438.75211716,251.56925556,MSC cells,0.906293022555304,0.380686078437691,0.137593345603965,0,0.937043247042059,0.441037758336826,0.111227411450955,0,FAP+CAF/SPP1+TAM
P6,78.932532,151.36252684,Myofibroblast cells,0.299597427527127,0.307510112422258,0.566235187498947,0,0.257695294514789,0.288379601768775,0.140607096634781,0,TLS-like immune
P6,282.05224768,304.67957352,Fibroblast cells,0.309450393746887,0.31255206932954,0,0,0.217297836036436,0.188276587655195,0,0,Epithelial/other
P6,222.74008792,150.87389688,Malignant epithelial cells,0.234638641367739,0.262461607533957,0,1,0.223904091459902,0.317044419656842,0.0171788902092753,1,Epithelial/other
P6,275.62488436,338.50780152,Fibroblast cells,0.471649156632269,0,0,0,0.221708417409304,0.18264934876417,0,0,Epithelial/other
P6,301.18398996,158.12817244,Fibroblast cells,0.0755912697685427,0.338922496318055,0.30236507907417,0,0.271127220133571,0.282103948454079,0.04319501129631,0,Epithelial/other
P6,282.20259536,349.7462906,Endothelial cells,0.39958644133913,0.503801779444013,0.2504141578301,0,0.262729917157237,0.3252675847339,0.0357734511185857,0,Epithelial/other
P6,432.92614456,458.1845548,MARCO_FAP,0.243206170002393,0.251243880652234,0,0,0.363624842760755,0.325421726452678,0,0.285714285714286,Epithelial/other
P6,432.02405848,195.22646248,Malignant epithelial cells,0.401636281413427,0.334598491656723,0,1,0.60150836044645,0.429118197342994,0.0152840401167033,0.428571428571429,FAP+CAF/SPP1+TAM
P6,216.98928916,387.5211452,Fibroblast cells,0.215081253569542,0.20647800342676,0,0,0.145776016150605,0.107091378738687,0,0,Epithelial/other
P6,432.4375146,322.94681664,Malignant epithelial cells,0.145681713025795,0.343881454595807,0,1,0.456583273363386,0.405102841000385,0.0148354365337239,0.714285714285714,SPP1+TAM-dominant
P6,393.19677012,308.06239632,MSC cells,0.3879498525416,0.459881498259943,0,0,0.600116535904122,0.363405182130985,0.052404584940049,0,FAP+CAF-dominant
P6,367.52490376,450.89269232,MSC cells,0.227963883629332,0.331183865651313,0,0,0.191856896806665,0.218343470472971,0,0,Epithelial/other
P6,471.03928144,135.01221664,FAP+ fibroblasts,0.441102342820198,0.415170527906774,0.0763917238663437,0,0.460323306695219,0.341562823087578,0.0109131034094777,0.428571428571429,Epithelial/other
P6,446.19432732,518.24845296,Malignant epithelial cells,0.294265424656261,0.216592340157493,0,1,0.299144387688834,0.252219154461678,0.018809066215612,0.857142857142857,Epithelial/other
P6,484.75850724,322.75888204,Unknown,0.350871891928301,0.226106196662707,0,0,0.431954702624341,0.348225816319276,0.0307929120710526,0,Epithelial/other
P6,105.95752748,414.2078584,Epitheial cells,0.158312803530759,0.27495121241854,0,0,0.129964117186419,0.160052260630286,0.0453389869679702,0,Epithelial/other
P6,418.9062234,180.26686832,MARCO_FAP,1.0955999646294,0.487965380998608,0.0701090662709097,0,0.981965067777027,0.455457448093426,0.053171538332185,0,FAP+CAF/SPP1+TAM
P6,373.57639788,304.37887816,MARCO_FAP,1.11982628343543,0.416149776811599,0.0808459193796462,0,0.845971085114143,0.429465361744996,0.0308506679758828,0,FAP+CAF/SPP1+TAM
P6,275.58729744,323.47303352,Endothelial cells,0.206089119143754,0.340430732602782,0,0,0.257204602846714,0.277896936612013,0.135146308610394,0,TLS-like immune
P6,419.4700272,353.05393956,Malignant epithelial cells,0.123580817296962,0.36343057190833,0.0498778257566883,1,0.263357398658087,0.281265004609483,0.00712540367952691,1,Epithelial/other
