drug,n_high,n_low,median_high,median_low,median_difference,mean_high,mean_low,mean_difference,p_value,fdr_bh,sensitivity_rank
AZD2014_1441,191,192,1.91632207580181,2.16886076227293,-0.25253868647112,1.96905374031521,2.19743811796943,-0.228384377654221,8.95555632194762e-07,2.21650018968204e-06,58
Carmustine_1807,191,192,6.26510945914959,6.41848053958162,-0.153371080432028,6.24204722245369,6.46721058455291,-0.225163362099221,9.29922315006678e-07,2.27314343668299e-06,59
RVX-208_1625,191,192,4.83448194720785,4.98200193420704,-0.14751998699919,4.78905106394542,5.0082397121704,-0.219188648224975,6.20784899147121e-08,1.83455835867358e-07,60
Vinorelbine_2048,191,192,-2.90442122192041,-2.76633201923036,-0.138089202690046,-2.89658781207089,-2.67941034539503,-0.217177466675858,0.0363337637228676,0.0467148390722583,61
Luminespib_1559,191,192,-2.37897342399458,-2.17680759254415,-0.202165831450421,-2.34610322965564,-2.13238978696389,-0.213713442691742,0.00141898613143895,0.00226580043568478,62
PFI3_1620,191,192,5.21480608772309,5.41331485708863,-0.198508769365541,5.21810764449719,5.42797076877166,-0.209863124274468,1.70354809937882e-09,5.81556075305183e-09,63
Leflunomide_1578,191,192,5.10675593396642,5.30796286139858,-0.201206927432152,5.10052565060973,5.3096327169196,-0.209107066309874,3.45636925960052e-11,1.42575231958522e-10,64
IWP-2_1576,191,192,2.86084299165665,3.03719008741547,-0.176347095758816,2.82162088311255,3.02453292615768,-0.202912043045136,1.87351566193437e-07,5.22473381778882e-07,65
AZD5438_1401,191,192,2.31328379869182,2.47672873776802,-0.163444939076204,2.31340317550245,2.51230314940597,-0.198899973903524,0.000790787683187457,0.0013047996772593,66
LJI308_2107,191,192,5.21124239813641,5.41502814369396,-0.203785745557554,5.21356520005273,5.40796678475411,-0.194401584701381,8.14905369554155e-07,2.06860593809901e-06,67
AZD7762_1022,191,192,0.0972552804333384,0.259005954608882,-0.161750674175544,0.0872606460294285,0.278794030056049,-0.191533384026621,0.000186045792362002,0.000350829208454061,68
CDK9_5576_1708,191,192,-0.374562949473978,-0.166278291507409,-0.208284657966568,-0.343971196349913,-0.152685001771396,-0.191286194578517,1.41261970337653e-05,2.97551809860162e-05,69
XAV939_1268,191,192,4.34643923665813,4.55249101189454,-0.206051775236413,4.34734453534645,4.53567240148433,-0.188327866137883,3.1131631029258e-13,1.71223970660919e-12,70
Picolinici-acid_1635,191,192,5.23410989815053,5.3849325924261,-0.150822694275569,5.210021513004,5.39544417475767,-0.18542266175367,4.36325670721502e-08,1.32911512004396e-07,71
AZ960_1250,191,192,1.95162654278848,2.17778822024385,-0.226161677455371,1.97230302702972,2.15753261435326,-0.185229587323545,0.00241469853973861,0.00373523680365815,72
LGK974_1598,191,192,4.09910103522359,4.3010694467789,-0.201968411555304,4.11493784321099,4.29970920065927,-0.184771357448283,0.000754625154601245,0.00127048272893972,73
Paclitaxel_1080,191,192,-2.6304786728083,-2.45373465900155,-0.17674401380675,-2.58126555808368,-2.39768653769787,-0.183579020385811,0.0291931254786996,0.0382797274488909,74
Fulvestrant_1200,191,192,2.93083466539109,3.11496389649434,-0.184129231103259,2.94597817365902,3.12892642062799,-0.182948246968971,8.19406549627374e-06,1.763505400285e-05,75
Vorinostat_1012,191,192,1.57673824816723,1.75221264544864,-0.175474397281417,1.60517644063721,1.78728003211134,-0.182103591474132,0.000444737253249417,0.000765721531681605,76
Gallibiscoquinazole_1830,191,192,2.65876782443931,2.82045293595826,-0.161685111518953,2.65023516611836,2.83073173184009,-0.180496565721726,7.04386025146156e-06,1.5326201426257e-05,77
Cyclophosphamide_1512,191,192,5.22938535902564,5.37951307221885,-0.150127713193206,5.21492735871251,5.3905605200813,-0.175633161368785,6.27566132723835e-07,1.61374148414701e-06,78
Obatoclax Mesylate_1068,191,192,1.44966252070616,1.6505382989725,-0.200875778266341,1.46422513593768,1.63512733063579,-0.170902194698102,3.41726694923131e-07,9.14349805334863e-07,79
