drug,mean_difference,median_difference,p_value,fdr_bh,sensitivity_rank
P22077_1933,0.126013281782903,0.0867193743856793,0.0231267410975411,0.0309398293061698,162
Wee1 Inhibitor_1046,0.127173242076201,0.133199901835428,0.0223563676103744,0.0301126584139737,163
MK-1775_1179,0.144566811308391,0.201602611478495,0.00111052134711187,0.00177325182845283,164
Alpelisib_1560,0.146345797703306,0.0607656745852712,0.0198330734828498,0.0268969078740018,165
Afuresertib_1912,0.158042271492486,0.20417440913607,0.000420651964060159,0.000737071583043465,166
ML323_1629,0.158278265707454,0.146635932624794,6.31863811828559e-06,1.3284592291313e-05,167
AZD8055_1059,0.171268049924547,0.174777465050444,0.000144684664617811,0.000270260033908742,168
Tamoxifen_1199,0.179444900084351,0.15993488279254,3.29974414055023e-05,6.34319747406744e-05,169
Alisertib_1051,0.188424321690167,0.128025522632201,0.0157204847669219,0.0217668250618919,170
Acetalax_1804,0.193478111830094,0.185121683244009,0,0,171
Sorafenib_1085,0.216377770605549,0.255063119307219,2.20436720514972e-05,4.32143273880835e-05,172
AZD1332_1463,0.22464401157291,0.210328289496952,0.000534027385256986,0.000911529502421406,173
Ribociclib_1632,0.241059519752215,0.217472613076501,6.37392054381181e-06,1.3284592291313e-05,174
Sepantronium bromide_1941,0.253296580261202,0.255383542851975,5.45552418795836e-08,1.44773446631783e-07,175
Ipatasertib_1924,0.256798978749509,0.280696589000648,3.91006891309331e-08,1.07526895110066e-07,176
Osimertinib_1919,0.260501223939599,0.218186123310478,4.57186168034696e-07,1.13153576588587e-06,177
Ibrutinib_1799,0.270803976311003,0.268866003140832,2.39307813976186e-05,4.64538697718479e-05,178
WEHI-539_1997,0.277094439185547,0.276849806932456,2.30789083399685e-08,6.72003507546142e-08,179
Daporinad_1248,0.328301402812542,0.34135886364288,5.03224314685191e-06,1.08302624247465e-05,180
BMS-345541_1249,0.332201299232652,0.304177521341341,7.53175299905706e-13,3.38928884957568e-12,181
Ulixertinib_1908,0.395383300610266,0.317720186571084,2.08137951318577e-10,7.35916327876396e-10,182
NU7441_1038,0.493561204215809,0.47002031332709,0,0,183
Lapatinib_1558,0.573702364619179,0.567969694615744,8.67750316047022e-13,3.8181013906069e-12,184
Afatinib_1032,0.6189346289195,0.635220055961345,0,0,185
OSI-027_1594,0.619636267921122,0.519626349480943,0,0,186
Doramapimod_1042,0.638799361593272,0.647453751023901,0,0,187
Sapitinib_1549,0.690948860193243,0.702433091336731,0,0,188
GSK269962A_1192,0.765564270564595,0.759404945446528,0,0,189
ZM447439_1050,0.769739099525743,0.667438592477012,0,0,190
AZD6482_2169,0.783941702297865,0.730811160183425,0,0,191
KU-55933_1030,0.814056081256675,0.771401080787201,0,0,192
Axitinib_1021,1.04427139605513,1.00911327678712,0,0,193
JQ1_2172,1.18203883067375,1.02653552644369,0,0,194
PF-4708671_1129,1.21075005717351,1.1833467130479,0,0,195
RO-3306_1052,1.30751815267404,1.36550825291744,0,0,196
Tozasertib_1096,1.58326080407434,1.6054426425549,0,0,197
BI-2536_1086,2.30250197134454,2.44257978501348,0,0,198
