draw,median_patient_mean_difference
314,-0.068457050786209
315,-0.0781765478483828
316,-0.0651288490380551
317,-0.0661218508138015
318,-0.0860843732191572
319,-0.0846136576488752
320,-0.0606149034686936
321,-0.0788251568767242
322,-0.0863731332773773
323,-0.0712453537017211
324,-0.0746959897772821
325,-0.0788852810096984
326,-0.075900695565339
327,-0.0726467457100405
328,-0.0903062567319846
329,-0.0683128073910242
330,-0.0754579298859722
331,-0.0676959893300491
332,-0.0652029997555234
333,-0.0706839571395589
334,-0.0726991702707504
335,-0.0877120131701834
336,-0.0607507071407146
337,-0.0603788836012984
338,-0.0716119476401065
339,-0.0701872461304175
340,-0.0610935424141829
341,-0.0648771388555923
342,-0.0680137074300551
343,-0.0563431629168332
344,-0.0800300148462456
345,-0.0617477340269762
346,-0.075091472106755
347,-0.102450199321077
348,-0.074751212030479
349,-0.0731434731520815
350,-0.08653878051427
351,-0.071581385716376
352,-0.0890776067246589
353,-0.0716930088033501
354,-0.0841840480375495
355,-0.0798680904079143
356,-0.0889148114926923
357,-0.0558005438276338
358,-0.0507986563961593
359,-0.0775941079699938
360,-0.0832375520447883
361,-0.0701739145947387
362,-0.0523633868185792
363,-0.0706367415635353
364,-0.0474678265246439
365,-0.0835100958872766
366,-0.0803428597613939
367,-0.0913533526634298
368,-0.0713531564431313
369,-0.0707647552789666
370,-0.0457979654607706
371,-0.0560875805413897
372,-0.0693828725685675
373,-0.0793921302770119
374,-0.0761287404143077
375,-0.0981589443179879
376,-0.0807039081366547
377,-0.0881784590673994
378,-0.104235058049856
379,-0.0739360258517599
380,-0.0872700724962308
381,-0.0682947770546344
382,-0.0639822943836951
383,-0.0848087626022963
384,-0.0859109655773838
385,-0.062368590850998
386,-0.0582068031597693
387,-0.0845191941815362
388,-0.0938181957809958
389,-0.102387251833344
390,-0.0803095661658474
391,-0.0809418575052163
392,-0.074905512363561
393,-0.0804806696540744
394,-0.066198722790499
395,-0.0688711492821362
396,-0.0552186249522718
397,-0.0796916139532448
398,-0.0823146786130623
399,-0.0818945606318792
400,-0.103273374446394
401,-0.0610502619246984
402,-0.081220721374544
403,-0.0896388949851527
404,-0.0779703783243276
405,-0.0655568294254199
406,-0.0778095508827167
407,-0.0634061292250121
408,-0.0485956844452028
409,-0.0715833001116915
410,-0.0938497994671283
411,-0.0525265681208983
412,-0.067019556296145
413,-0.0843043347664525
414,-0.075486098919408
415,-0.0748537494655702
416,-0.0812297771190472
417,-0.0535725936108309
418,-0.0669575089081504
419,-0.0728537237384437
420,-0.0671051402955906
421,-0.0681906813763593
422,-0.0523248401710134
423,-0.0791450423635758
424,-0.0863231048292731
425,-0.0493308259183136
426,-0.0630146418165837
427,-0.105674466705797
428,-0.0876933776150564
429,-0.0424802185360215
430,-0.078060300444342
431,-0.0564597144713293
432,-0.0673309668498162
433,-0.0669387239128337
434,-0.0672248239897263
435,-0.0718434137968046
436,-0.0680899352796678
437,-0.0470019006866616
438,-0.0695378477188138
439,-0.0815585013289605
440,-0.0845645154594543
441,-0.0740507587189048
442,-0.0692690682585211
443,-0.0497089405737198
444,-0.0550380175182835
445,-0.0956397695293318
446,-0.0936966684604163
447,-0.0719332621813766
448,-0.0702422702059242
449,-0.0804805745808742
450,-0.0720372730023324
451,-0.0686685682036907
452,-0.0526156653290336
453,-0.0632899100454513
454,-0.059663717302995
455,-0.0702079048507998
456,-0.0822221718605599
457,-0.0663772950579309
458,-0.0508212032002472
459,-0.0516875485286261
460,-0.0655156773227615
461,-0.0782603813559264
462,-0.0765557623972545
463,-0.0741205859248993
464,-0.0836432660794226
465,-0.0689759479282535
466,-0.0556891308397666
467,-0.074903360536875
468,-0.0767769274956416
469,-0.0749950620679122
470,-0.0830233119300084
471,-0.0790772339023
472,-0.082245351063227
473,-0.0693339445641851
474,-0.0773343265684723
475,-0.0594560287134966
476,-0.09062836012997
477,-0.0454863012961373
478,-0.0677266510224925
479,-0.0706872034053194
480,-0.0679996577607909
481,-0.0791713250578985
482,-0.0747051238330292
483,-0.0777911585058394
484,-0.0696202172536273
485,-0.0666322672949679
486,-0.0397626464673788
487,-0.064967763403644
488,-0.0577501319608395
489,-0.052312180509222
490,-0.0962598310771234
491,-0.0455015247548705
492,-0.0623331078304868
493,-0.0635151495519344
494,-0.0749035259373669
495,-0.0784759416367848
496,-0.091980219619023
497,-0.0733630070112885
498,-0.0784006630707423
499,-0.056016430305296
500,-0.0709341040427385
501,-0.0379058891478449
502,-0.0897004854778312
503,-0.0623607513709351
504,-0.0860339341944038
505,-0.0771168997290766
506,-0.0525896971806327
507,-0.0467446896402118
508,-0.0352462610701456
509,-0.0899086436598686
510,-0.0564921003137835
511,-0.064422890541172
512,-0.079265356996285
513,-0.0708025924413671
514,-0.0828339361315535
515,-0.100249995408925
516,-0.080512353438178
517,-0.0658807982719653
518,-0.0617397826607141
519,-0.0560387345876772
520,-0.0865560847156433
521,-0.0654464671419153
522,-0.06400599799641
523,-0.0500406325564305
524,-0.0850658865954406
525,-0.077907891900498
526,-0.0729426624173887
527,-0.0567995389879519
528,-0.0605789752508517
529,-0.0736246537962217
530,-0.0698735526901038
531,-0.0691766335468054
532,-0.0623262505999793
533,-0.0557834370882471
534,-0.0865507737775405
535,-0.0775178508259356
536,-0.0746771958772549
537,-0.0625328981677219
538,-0.0697178686215533
539,-0.0673612144214199
540,-0.0746167911537477
541,-0.0870856769535649
542,-0.043141496467809
543,-0.0659270115837188
544,-0.0682366912561632
545,-0.0604660335261657
546,-0.082183433599737
547,-0.0670772024154508
548,-0.0740630785638849
549,-0.0803977952208624
550,-0.05215706005193
551,-0.0614564013965351
552,-0.0551904404358684
553,-0.0825297882791409
554,-0.0629982065468249
555,-0.07842790141578
556,-0.0675330952773931
557,-0.0613157051057541
