source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,sample_id,patient_id,replicate,sender_spots,receiver_spots,prespecified_direction
Tumor_stroma,Tumor_stroma,COL1A1,CD44,0.131781557998972,0.03,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,COL1A2,CD44,0.146319398437135,0,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Tumor_stroma,Fibroblastic_stroma,COL1A2,CD44,0.116348296209224,0,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Tumor,COL1A2,CD44,0.0974984206959955,0,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,TRUE
Tumor_stroma,Tumor,COL1A2,CD44,0.144316259226411,0,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Tumor_stroma,COL1A2,CD44,0.117954767704309,0,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Tumor_stroma,Tumor_stroma,COL1A2,CD44,0.13361522576764,0.1,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,COL1A1,SDC4,0.139433178027937,0.98,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Tumor,COL1A1,SDC4,0.109321964507277,0,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,TRUE
Tumor_stroma,Tumor,COL1A1,SDC4,0.168737293450067,0,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Tumor_stroma,COL1A1,SDC4,0.140333113176096,0,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Tumor_stroma,Tumor_stroma,COL1A1,SDC4,0.165881108424284,0,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,COL1A2,SDC4,0.147386639472729,0.84,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Tumor,COL1A2,SDC4,0.115289493828534,0,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,TRUE
Tumor_stroma,Tumor,COL1A2,SDC4,0.170970502242652,0,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Tumor_stroma,COL1A2,SDC4,0.148025381841259,0,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Tumor_stroma,Tumor_stroma,COL1A2,SDC4,0.168085223744543,0,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,FN1,SDC4,0.0798289346212695,0.76,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Tumor_stroma,Fibroblastic_stroma,FN1,SDC4,0.0688131294289326,0.45,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Tumor,FN1,SDC4,0.0637006695112091,0,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,TRUE
Tumor_stroma,Tumor,FN1,SDC4,0.102105468957631,0,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Tumor_stroma,FN1,SDC4,0.0816358418345414,0,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Tumor_stroma,Tumor_stroma,FN1,SDC4,0.100222235683132,0,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
