patient,class,cell_type,cell_subtype,n_cells
SMC09,Normal,Epithelial cells,Mature Enterocytes type 1,96
SMC09,Normal,Epithelial cells,Mature Enterocytes type 2,13
SMC09,Normal,Epithelial cells,Stem-like/TA,33
SMC09,Normal,Mast cells,Mast cells,6
SMC09,Normal,Myeloids,Pro-inflammatory,2
SMC09,Normal,Myeloids,SPP1+,19
SMC09,Normal,Myeloids,Unknown,2
SMC09,Normal,Myeloids,cDC,12
SMC09,Normal,Stromal cells,Enteric glial cells,4
SMC09,Normal,Stromal cells,Lymphatic ECs,2
SMC09,Normal,Stromal cells,Myofibroblasts,1
SMC09,Normal,Stromal cells,Pericytes,1
SMC09,Normal,Stromal cells,Smooth muscle cells,9
SMC09,Normal,Stromal cells,Stalk-like ECs,3
SMC09,Normal,Stromal cells,Stromal 1,61
SMC09,Normal,Stromal cells,Stromal 2,16
SMC09,Normal,Stromal cells,Stromal 3,32
SMC09,Normal,Stromal cells,Tip-like ECs,7
SMC09,Normal,T cells,CD4+ T cells,218
SMC09,Normal,T cells,CD8+ T cells,101
SMC09,Normal,T cells,NK cells,8
SMC09,Normal,T cells,Regulatory T cells,16
SMC09,Normal,T cells,T follicular helper cells,1
SMC09,Normal,T cells,T helper 17 cells,1
SMC09,Normal,T cells,Unknown,10
SMC09,Normal,T cells,gamma delta T cells,51
SMC09,Tumor,B cells,CD19+CD20+ B,9
SMC09,Tumor,B cells,IgA+ Plasma,1
SMC09,Tumor,B cells,IgG+ Plasma,11
SMC09,Tumor,Epithelial cells,CMS1,3
SMC09,Tumor,Epithelial cells,CMS2,1841
SMC09,Tumor,Epithelial cells,CMS3,43
SMC09,Tumor,Myeloids,Pro-inflammatory,138
SMC09,Tumor,Myeloids,Proliferating,10
SMC09,Tumor,Myeloids,SPP1+,204
SMC09,Tumor,Myeloids,Unknown,33
SMC09,Tumor,Myeloids,cDC,16
SMC09,Tumor,Stromal cells,Lymphatic ECs,1
SMC09,Tumor,Stromal cells,Myofibroblasts,12
SMC09,Tumor,Stromal cells,Pericytes,9
SMC09,Tumor,Stromal cells,Proliferative ECs,1
SMC09,Tumor,Stromal cells,Smooth muscle cells,2
SMC09,Tumor,Stromal cells,Stalk-like ECs,9
SMC09,Tumor,Stromal cells,Stromal 1,1
SMC09,Tumor,Stromal cells,Stromal 2,1
SMC09,Tumor,Stromal cells,Tip-like ECs,9
SMC09,Tumor,T cells,CD4+ T cells,118
SMC09,Tumor,T cells,CD8+ T cells,1017
SMC09,Tumor,T cells,NK cells,26
SMC09,Tumor,T cells,Regulatory T cells,218
SMC09,Tumor,T cells,T follicular helper cells,23
SMC09,Tumor,T cells,T helper 17 cells,27
SMC09,Tumor,T cells,Unknown,2
SMC09,Tumor,T cells,gamma delta T cells,4
SMC10,Normal,B cells,CD19+CD20+ B,67
SMC10,Normal,B cells,IgA+ Plasma,364
SMC10,Normal,B cells,IgG+ Plasma,1
SMC10,Normal,B cells,Unknown,5
SMC10,Normal,Epithelial cells,Goblet cells,18
SMC10,Normal,Epithelial cells,Intermediate,8
SMC10,Normal,Epithelial cells,Mature Enterocytes type 1,15
SMC10,Normal,Epithelial cells,Mature Enterocytes type 2,31
SMC10,Normal,Epithelial cells,Stem-like/TA,53
SMC10,Normal,Mast cells,Mast cells,28
SMC10,Normal,Myeloids,Pro-inflammatory,17
SMC10,Normal,Myeloids,SPP1+,30
SMC10,Normal,Myeloids,cDC,20
SMC10,Normal,Stromal cells,Enteric glial cells,51
SMC10,Normal,Stromal cells,Lymphatic ECs,13
SMC10,Normal,Stromal cells,Pericytes,17
SMC10,Normal,Stromal cells,Smooth muscle cells,20
SMC10,Normal,Stromal cells,Stalk-like ECs,3
SMC10,Normal,Stromal cells,Stromal 1,240
SMC10,Normal,Stromal cells,Stromal 2,65
SMC10,Normal,Stromal cells,Stromal 3,236
SMC10,Normal,Stromal cells,Tip-like ECs,85
SMC10,Normal,T cells,CD4+ T cells,285
SMC10,Normal,T cells,CD8+ T cells,234
SMC10,Normal,T cells,NK cells,21
SMC10,Normal,T cells,Regulatory T cells,14
SMC10,Normal,T cells,T follicular helper cells,1
SMC10,Normal,T cells,Unknown,5
SMC10,Normal,T cells,gamma delta T cells,40
SMC10,Tumor,B cells,CD19+CD20+ B,22
